Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
0,,,5,1,6,5,1,6,1,1,1,11.833333,0.000044,0.000002,0,0,0.002299,0.05,0.016725,125
61,,,5,1,6,5,1,6,1,1,1,24,0.000025,0.000003,0,0,0.002278,0.1,0.019746,125
12,,,2,1,3,2,1,3,1,1,1,1,0,0,1,2,0.000288,0.166667,0.001185,79
11,,,3,0,3,3,0,3,0,0,0,0,0,0,1,1,0.000526,0.166667,0.00311,79
13,,,3,1,4,3,1,4,1,1,1,2,0,0,0,3,0.000997,0,0.002495,49
14,,,1,1,2,1,1,2,1,1,1,0,0,0,0,3,0.000975,0,0.002258,49
46,,,6,1,7,6,1,7,1,1,1,2.833333,0,0,0,5,0.000457,0.142857,0.023969,112
254,,,11,0,11,11,0,11,0,0,0,0,0,0,0,4,0.0015,0.127273,0.078199,112
49,,,1,3,4,1,3,4,2,0.8,0.875,4,0,0,0,9,0.000237,0.166667,0.000376,48
231,,,3,0,3,3,0,3,0,0,0,0,0,0,0,7,0.000536,0.166667,0.021696,48
233,,,7,1,8,7,1,8,1,1,1,11,0,0,0,6,0.002885,0.142857,0.028664,48
235,,,3,3,6,3,3,6,1,1,1,18.833333,0,0,0,8,0.000312,0.233333,0.010433,48
57,,,3,1,4,3,1,4,1,1,1,0,0,0,0,10,0.001569,0.5,0.018923,124
58,,,6,1,7,6,1,7,1,1,1,2.5,0,0,0,10,0.00162,0.166667,0.0218,124
81,,,4,1,5,4,1,5,1,1,1,3,0,0,0,11,0.002262,0.083333,0.00755,136
82,,,7,1,8,7,1,8,1,1,1,7,0.000001,0,0,11,0.002371,0.02381,0.008338,136
85,,,3,1,4,3,1,4,1,1,1,3,0,0,0,13,0.000402,0.166667,0.002243,125
152,,,1,0,1,1,0,1,0,0,0,0,0,0,0,12,0.00047,0,0.002269,125
90,,,4,1,5,4,1,5,1,1,1,0.5,0,0,2,14,0.00191,0.333333,0.005843,33
92,,,3,1,4,3,1,4,1,1,1,0,0,0,2,14,0.00188,0.5,0.005725,33
108,,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0,16,0.000128,0,0,19
106,,,13,0,13,13,0,13,0,0,0,0,0.000334,0,0,15,0.001612,0.051282,0.123147,19
109,,,12,1,13,12,1,13,2,0.6,0.666667,414.87619,0.000035,0.000006,0,19,0.001869,0.166667,0.155182,19
203,,,21,2,23,21,2,23,1,1,1,419.57619,0.000081,0.000004,0,18,0.003212,0.051383,0.169403,19
119,,,4,1,5,4,1,5,1,1,1,191.833333,0.000017,0,0,21,0.000607,0.05,0.032231,92
219,,,4,0,4,4,0,4,0,0,0,0,0.000003,0,0,20,0.000803,0,0.01916,92
132,,,1,1,2,1,1,2,1,1,1,0,0,0,0,23,0.000211,0.5,0.001242,118
270,,,3,0,3,3,0,3,0,0,0,0,0,0,0,22,0.000972,0.333333,0.011508,118
167,,,10,1,11,10,1,11,1,1,1,32,0.00008,0,0,24,0.000685,0.054545,0.013137,118
177,,,2,1,3,2,1,3,1,1,1,3,0.000001,0,0,25,0.002768,0,0.00776,136
178,,,4,1,5,4,1,5,1,1,1,19,0,0,0,25,0.003041,0,0.01143,136
179,,,7,1,8,7,1,8,2,0.6,0.666667,101.666667,0.000008,0,0,27,0.00153,0.095238,0.050273,136
327,,,9,3,12,9,3,12,1,1,1,77.333333,0.000005,0.000003,0,27,0.001932,0.127273,0.035891,136
193,,,9,1,10,9,1,10,1,1,1,1,0.000036,0.000002,0,17,0.014788,0.194444,0.194087,19
194,,,10,1,11,10,1,11,1,1,1,33.957143,0.000025,0.000002,0,17,0.01487,0.166667,0.220893,19
195,,,16,2,18,16,2,18,1,1,1,79.133333,0.000076,0.000004,0,28,0.001118,0.039216,0.047476,19
205,,,0,1,1,0,1,1,1,1,1,0,0,0,3,30,0.000128,0,0,0
207,,,1,0,1,1,0,1,0,0,0,0,0,0,3,29,0.000237,0,0.000376,0
221,,,0,1,1,0,1,1,1,1,1,0,0,0,0,32,0.000128,0,0,92
210,,,8,0,8,8,0,8,0,0,0,0,0,0,0,31,0.000979,0.035714,0.016241,92
223,,,4,1,5,4,1,5,1,1,1,4.333333,0.000006,0.000001,0,34,0.000334,0.15,0.009937,92
344,,,12,0,12,12,0,12,0,0,0,0,0.000019,0,0,33,0.000997,0.090909,0.047629,92
229,,,1,1,2,1,1,2,1,1,1,14,0,0,0,36,0.000288,0,0.00231,67
228,,,1,0,1,1,0,1,0,0,0,0,0,0,0,35,0.000373,0,0.00157,67
232,,,3,1,4,3,1,4,1,1,1,0,0,0,0,6,0.002734,0.5,0.022908,48
234,,,2,3,5,2,3,5,2,0.8,0.875,6,0,0,0,37,0.000234,0.3,0.001185,48
242,,,4,1,5,4,1,5,1,1,1,2,0,0,4,38,0.002332,0.083333,0.004218,1
